id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.ogMax,ibu,availableId,available.id,available.name,available.description
rf3USP,21A IPA,21A IPA,7.2,30,N,verified,Verified,2012-01-03 02:42:37,2012-03-22 13:04:57,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,
DTJaHy,5 South,5 South,,25,N,verified,Verified,2017-02-21 09:19:08,2017-05-04 15:35:24,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,
6IV6lH,563 Stout,563 Stout,5,42,N,verified,Verified,2012-01-03 02:42:37,2014-10-13 18:54:48,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,,,,,
2qPP4k,A Terrible Idea,A Terrible Idea,,172,N,verified,Verified,2018-09-05 17:18:08,2018-09-06 05:00:08,172,3,3,North American Origin Ales,2012-03-21 20:06:45,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin

Perceived Bitterness: Medium-low to medium

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers.",50,70,6.3,7.5,4,7,1.06,1.008,1.016,2018-08-16 14:03:57,,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-large.png,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/2qPP4k/upload_QED0ih-contentAwareLarge.png,1.07,,,,,
8PgW0r,Allies Win The War!,Allies Win The War!,8.5,14,N,verified,Verified,2012-09-09 21:41:10,2015-12-16 17:57:10,14,1,1,British Origin Ales,2012-03-21 20:06:45,Strong Ale,Strong Ale,"Light amber to mid-range brown in color, strong ales are medium to full bodied with a malty sweetness and may have low levels of roast malt character. Hop aroma should be minimal and flavor can vary from none to medium in character intensity. Fruity-ester flavors and aromas can contribute to the character of this ale. Bitterness should be minimal but evident and balanced with malt and/or caramel-like sweetness. Alcohol types can be varied and complex. A rich, often sweet and complex estery character may be evident. Very low levels of diacetyl are acceptable. Chill haze is acceptable at low temperatures. (This style may often be split into two categories, strong and very strong.)",30,65,7,11,8,21,1.06,1.014,1.04,2012-03-21 20:06:45,2015-04-07 15:21:05,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-large.png,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/8PgW0r/upload_omuEfj-contentAwareLarge.png,,52,2.0,2.0,Limited,Limited availability.
K4iku8,Almond Milk Porter,Almond Milk Porter,7.6,18,N,verified,Verified,2013-11-22 12:44:00,2015-12-17 08:05:15,18,1,1,British Origin Ales,2012-03-21 20:06:45,Brown Porter,Brown Porter,"Brown porters are mid to dark brown (may have red tint) in color. No roast barley or strong burnt/black malt character should be perceived. Low to medium malt sweetness, caramel and chocolate is acceptable along with medium hop bitterness. This is a lightto medium-bodied beer. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,30,4.5,6,20,35,1.04,1.006,1.014,2012-03-21 20:06:45,2015-04-07 15:21:43,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-large.png,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/K4iku8/upload_vnnGKc-contentAwareLarge.png,,,,,,
OOAFqf,Amendment Pale Ale,Amendment Pale Ale,5.2,25,N,verified,Verified,2012-01-03 02:42:41,2012-03-22 13:04:57,25,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,,,,,,,,,,,,
rAxEUb,Baby Horse,Baby Horse,11.8,60,N,verified,Verified,2015-01-01 22:53:50,2015-01-15 19:07:03,60,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Quadrupel,Belgian Quad,"Quadrupels or ""Quads"" are characterized by the immense presence of alcohol and balanced flavor, bitterness and aromas. Its color is deep amber to rich chestnut/garnet brown. Often characterized by a mousse-like dense, sometimes amber head will top off a properly poured and served quad. Complex fruity aroma and flavor emerge reminiscent of raisins, dates, figs, grapes, plums often accompanied with a hint of winy character. Caramel, dark sugar and malty sweet flavors and aromas can be intense, not cloying, while complementing fruitiness. Though well attenuated it usually has a full, creamy body. Hop characters do not dominate; low to low-medium bitterness is perceived. Perception of alcohol can be extreme. Clove-like phenolic flavor and aroma should not be evident. Chill haze is acceptable at low serving temperatures. Diacetyl and DMS should not be perceived. Well balanced with savoring/sipping drinkability. Oxidative character if evident in aged Quads should be mild and pleasant.",25,50,9,14,8,20,1.084,1.014,1.02,2012-03-21 20:06:46,2015-04-07 15:33:33,,,,,,,,,,,,
UD5Sm4,Back in Black,Back in Black,6.8,41,N,verified,Verified,2012-01-03 02:42:44,2017-08-03 20:20:35,41,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Black Ale,Black Ale,"American-style Black Ales are very dark to black and perceived to have medium high to high hop bitterness, flavor and aroma with medium-high alcohol content, balanced with a medium body. Fruity, floral and herbal character from hops of all origins may contribute character. The style is further characterized by a balanced and moderate degree of caramel malt and dark roasted malt flavor and aroma. High astringency and high degree of burnt roast malt character should be absent.",50,70,6,7.5,35,35,1.056,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:28:36,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-large.png,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/UD5Sm4/upload_pOkB4M-contentAwareLarge.png,,65,1.0,1.0,Year Round,Available year round as a staple beer.
5oOqnT,Belgian Chocolate Stout,Belgian Chocolate Stout,6.3,44,N,verified,Verified,2015-01-01 22:53:52,2015-01-15 19:06:13,44,3,3,North American Origin Ales,2012-03-21 20:06:45,Specialty Stouts,Stout,"See British Origin American-Style Imperial Porter Imperial porters are very dark brown to black in color. No roast barley or strong burnt/astringent black malt character should be perceived. Medium malt, caramel and cocoa-like sweetness should be in harmony with medium-low to medium hop bitterness. This is a full bodied beer. Ale-like fruity esters should be evident but not overpowering and compliment malt derived sweetness and hop character. Hop flavor and aroma may vary from being low to medium-high. Diacetyl (butterscotch) levels should be absent.",35,50,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:58,,,,,,,,50,,,,
9kidXn,Bitter American,Bitter American,4.4,4,N,verified,Verified,2012-01-03 02:42:49,2015-12-16 03:00:36,4,1,1,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-large.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/9kidXn/upload_Ztp27I-contentAwareLarge.png,,42,1.0,1.0,Year Round,Available year round as a staple beer.
cx2G9U,Blah Blah Blah,Blah Blah Blah,7.7,30,N,verified,Verified,2014-11-14 15:37:35,2015-12-17 19:10:22,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-large.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/cx2G9U/upload_j2m8nV-contentAwareLarge.png,,68,,,,
rtMecd,Brew Free or Die IPA,Brew Free or Die IPA,7,30,N,verified,Verified,2012-01-03 02:42:54,2015-12-16 07:59:26,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-large.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/rtMecd/upload_Lh8Is8-contentAwareLarge.png,,70,1.0,1.0,Year Round,Available year round as a staple beer.
LSmhjv,Brew Free! Or Die Blood Orange IPA,Brew Free! Or Die Blood Orange IPA,7,30,N,verified,Verified,2017-02-02 15:35:58,2018-07-20 16:00:41,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-large.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/LSmhjv/upload_rOzLlr-contentAwareLarge.png,,70,,,,
icDuui,Double Trouble IPA,Double Trouble IPA,9.8,31,N,verified,Verified,2012-01-03 02:43:06,2016-12-20 13:22:12,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,
5AJVRp,Down To Earth,Down To Earth,4.4,164,N,verified,Verified,2015-04-18 23:42:25,2017-10-08 21:53:23,164,3,3,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-large.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/5AJVRp/upload_qp1MJ9-contentAwareLarge.png,,42,1.0,1.0,Year Round,Available year round as a staple beer.
LUj8RN,Dub Step,Dub Step,10,31,N,verified,Verified,2015-02-18 18:24:22,2015-02-27 22:17:01,31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,,,,,,,,,,,,
HAYJWT,El Camino (un)Real,El Camino (un)Real,9.5,124,N,verified,Verified,2017-09-06 14:52:39,2017-09-06 14:52:39,124,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Herb and Spice Beer,Spice Beer,"Herb beers use herbs or spices (derived from roots, seeds, fruits, vegetable, flowers, etc.) other than or in addition to hops to create a distinct (ranging from subtle to intense) character, though individual characters of herbs and/or spices used may not always be identifiable. Under hopping often, but not always, allows the spice or herb to contribute to the flavor profile. Positive evaluations are significantly based on perceived balance of flavors. Note: Chili-flavored beers that emphasize heat rather than chili flavor should be entered as a ""spiced"" beer.  A statement by the brewer explaining what herbs or spices are used is essential in order for fair assessment in competitions. Specifying a style upon which the beer is based may help evaluation. If this beer is a classic style with an herb or spice, the brewer should specify the classic style. If no Chocolate or Coffee category exists in a competition, then chocolate and coffee beers should be entered in this category.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:45,,,,,,,,,,,,
