id,name,nameDisplay,abv,styleId,isRetired,status,statusDisplay,createDate,updateDate,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,style.ogMax,ibu,availableId,available.id,available.name,available.description
jvkp7g,MCA,MCA,4.5,108,N,verified,Verified,2015-04-20 15:45:50,2015-04-20 15:45:50,108,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Session Beer,Session,Any style of beer can be made lower in strength than described in the classic style guidelines. The goal should be to reach a balance between the style's character and the lower alcohol content. Drinkability is a character in the overall balance of these beers. Beers in this category must not exceed 4.1% alcohol by weight (5.1% alcohol by volume).,10,30,4,5.1,2,2,1.034,1.004,1.01,2012-03-21 20:06:46,2015-04-07 15:42:20,,,,,,,,,,,,
iqX54w,Monk's Blood,Monk's Blood,8.3,70,N,verified,Verified,2012-01-03 02:43:43,2017-08-03 20:20:41,70,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Other Belgian-Style Ales,Belgian Ale,"Recognizing the uniqueness and traditions of several other styles of Belgian Ales, the beers entered in this category will be assessed on the merits that they do not fit existing style guidelines and information that the brewer provides explaining the history and tradition of the style. Balance of character is a key component when assessing these beers. Barrel or wood-aged entries in competitions may be directed to other categories by competition director. In competitions the brewer must provide the historical or regional tradition of the style, or his interpretation of the style, in order to be assessed properly by the judges.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:33:05,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-large.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/iqX54w/upload_uP5VFp-contentAwareLarge.png,,34,1.0,1.0,Year Round,Available year round as a staple beer.
d1bs9X,North Star Red,North Star Red,5.8,32,N,verified,Verified,2012-01-03 02:43:46,2012-03-22 13:04:57,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,
syaOfN,Opening Day IPA,Opening Day IPA,7,30,N,verified,Verified,2015-04-20 15:40:44,2015-04-20 15:40:44,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,,,,,
TymIbq,Oyster Point Oyster Stout,Oyster Point Oyster Stout,5.9,42,N,verified,Verified,2012-01-03 02:43:53,2015-04-09 16:28:45,42,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,,,,,,,,35,,,,
0ht406,Potrero ESB,Potrero ESB,5.2,4,N,verified,Verified,2012-01-03 02:44:00,2015-05-11 17:54:39,4,1,1,British Origin Ales,2012-03-21 20:06:45,Special Bitter or Best Bitter,Special Bitter,"Special bitter is more robust than ordinary bitter. It has medium body and medium residual malt sweetness. It is deep gold to copper colored. Hop bitterness should be medium and absent of harshness. Hop flavor and aroma character may be evident at the brewer's discretion. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. (English and American hop character may be specified in subcategories.)",28,40,4.1,4.8,6,14,1.038,1.006,1.012,2012-03-21 20:06:45,2015-04-07 15:19:15,,,,,,,,,,,,
PDt0gi,Red Dwarf,Red Dwarf,7.1,33,N,verified,Verified,2014-12-31 18:27:58,2015-01-15 19:03:27,33,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,"Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.",55,85,7.9,10.5,10,15,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,,65,,,,
OhvSlu,Roasted American,Roasted American,5.8,32,N,verified,Verified,2014-09-15 16:43:26,2014-10-03 15:57:20,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,,,,,,,,,,,,
TUg2e2,Silver Lining IPA,Silver Lining IPA,5.9,30,N,verified,Verified,2015-01-01 22:53:51,2015-01-15 18:55:54,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,,,,,,,,65,,,,
EQXF1Y,Sneak Attack,Sneak Attack,6.2,72,N,verified,Verified,2013-02-08 23:29:20,2015-12-17 00:53:57,72,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-large.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/EQXF1Y/upload_11LexQ-contentAwareLarge.png,,38,4.0,4.0,Seasonal,"Available at the same time of year, every year."
XQzpOM,South Park Blonde,South Park Blonde,5,61,N,verified,Verified,2012-01-03 02:44:15,2015-04-08 16:45:43,61,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Blonde Ale,Belgian Blonde,"Belgian-style blond ales are characterized by low yet evident hop bitterness, flavor, and sometimes aroma. Light to medium body and low malt aroma with a sweet, spiced and a low to medium fruity-ester character orchestrated in flavor and aroma. Sugar may be used to lighten perceived body. They are blonde to golden in color. Noble-type hops are commonly used. Low levels of phenolic spiciness from yeast byproducts may be perceived. Diacetyl should not be perceived. Acidic character should not be present. Chill haze is allowable at cold temperatures.",15,30,6,7.8,4,7,1.054,1.008,1.014,2012-03-21 20:06:46,2015-04-07 15:32:01,,,,,,,,,,,,
dcEHn9,Sparkale,Sparkale,5.5,119,N,verified,Verified,2019-02-19 15:15:16,2019-02-20 05:01:54,119,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Fruit Beer,Fruit Beer,"Fruit beers are any beers using fruit or fruit extracts as an adjunct in either, the mash, kettle, primary or secondary fermentation providing obvious (ranging from subtle to intense), yet harmonious, fruit qualities. Fruit qualities should not be overpowered by hop character. If a fruit (such as juniper berry) has an herbal or spice quality, it is more appropriate to consider it in the herb and spice beers category. Acidic bacterial (not wild yeast) fermentation characters may be evident (but not necessary) they would contribute to acidity and enhance fruity balance. Clear or hazy beer is acceptable in appearance. A statement by the brewer explaining what fruits are used is essential in order for fair assessment in competitions. If this beer is a classic style with fruit, the brewer should also specify the classic style.",5,70,2.5,12,5,50,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:21,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-large.png,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/dcEHn9/upload_zkB7vE-contentAwareLarge.png,,,,,,
xsXlq9,Special Ale,Special Ale,7.5,125,N,verified,Verified,2012-01-03 02:44:15,2015-12-16 12:54:55,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-large.png,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/xsXlq9/upload_QpBBkp-contentAwareLarge.png,,,,,,
vOaj1O,Tales From the Kettle,Tales From the Kettle,9,8,N,verified,Verified,2017-12-10 19:00:32,2017-12-10 19:00:32,8,1,1,British Origin Ales,2012-03-21 20:06:45,Scottish-Style Heavy Ale,Scottish Heavy,"Scottish heavy ale is moderate in strength and dominated by a smooth, sweet maltiness balanced with low, but perceptible, hop bitterness. Hop flavor or aroma should not be perceived. Scottish heavy ale will have a medium degree of malty, caramel-like, soft and chewy character in flavor and mouthfeel. It has medium body, and fruity esters are very low, if evident. Yeast characters such as diacetyl (butterscotch) and sulfuriness are acceptable at very low levels. The color will range from golden amber to deep brown. Bottled versions of this traditional draft beer may contain higher amounts of carbon dioxide than is typical for mildly carbonated draft versions. Chill haze is acceptable at low temperatures. Though there is little evidence suggesting that traditionally made Scottish-style heavy ales exhibited peat smoke character, the current marketplace offers many Scottish-style heavy ales with peat or smoke character present at low to medium levels. Thus a peaty/smoky character may be evident at low to medium levels (ales with medium-high or higher smoke character would be considered a smoke flavored beer and considered in another category). Scottish-style heavy ales may be split into two subcategories: Traditional (no smoke character) and Peated (low level of peat smoke character).",12,20,3.5,4,10,19,1.035,1.01,1.014,2012-03-21 20:06:45,2015-04-07 15:19:48,,,,,,,,24,,,,
B4tiyg,Tales from the Kettle: There's Money in the Cocoa Banana Stout,Tales from the Kettle: There's Money in the Cocoa Banana Stout,8,20,N,verified,Verified,2019-07-01 17:14:40,2019-07-01 17:14:40,20,1,1,British Origin Ales,2012-03-21 20:06:45,Sweet or Cream Stout,Sweet Stout,"Sweet stouts, also referred to as cream stouts, have less roasted bitter flavor and a full-bodied mouthfeel. The style can be given more body with milk sugar (lactose) before bottling. Malt sweetness, chocolate, and caramel flavor should dominate the flavor profile and contribute to the aroma. Hops should balance and suppress some of the sweetness without contributing apparent flavor or aroma. The overall impression should be sweet and full-bodied.",15,25,3,6,40,40,1.045,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:24:41,,,,,,,,,,,,
FtajYG,Tasty IPA,Tasty IPA,6.8,30,N,verified,Verified,2017-09-16 04:00:34,2018-10-10 14:40:19,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-large.png,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/FtajYG/upload_AD8k49-contentAwareLarge.png,,70,,,,
ZjaObI,Toaster Pastry,Toaster Pastry,7.6,33,N,verified,Verified,2015-08-27 03:20:31,2016-12-20 13:22:12,33,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,"Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.",55,85,7.9,10.5,10,15,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ZjaObI/upload_mLVMRm-contentAwareLarge.png,,74,,,,
yqa0Gr,Watermelon Funk,Watermelon Funk,6.7,40,N,verified,Verified,2017-06-25 17:20:36,2018-05-25 05:01:11,40,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Sour Ale,Sour,"American sour ales can be very light to black or take on the color of added fruits or other ingredients. There is no Brettanomyces character in this style of beer. Wood- and barrel-aged sour ales are classified elsewhere. If acidity is present it is usually in the form of lactic, acetic and other organic acids naturally developed with acidified malt in the mash or in fermentation by the use of various microorganisms including certain bacteria and yeasts. Acidic character can be a complex balance of several types of acid and characteristics of age. The evolution of natural acidity develops balanced complexity. Residual flavors that come from liquids previously aged in a barrel such as bourbon or sherry should not be present. Wood vessels may be used during the fermentation and aging process, but wood-derived flavors such as vanillin must not be present. In darker versions, roasted malt, caramel-like and chocolate-like characters should be subtle in both flavor and aroma. American sour may have evident full range of hop aroma and hop bitterness with a full range of body. Estery and fruity-ester characters are evident, sometimes moderate and sometimes intense, yet balanced. Diacetyl and sweet corn-like dimethylsulfide (DMS) should not be perceived. Chill haze, bacteria and yeast-induced haze are allowable at low to medium levels at any temperature. Fruited American-Style Sour Ales will exhibit fruit flavors in harmonious balance with other characters.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:28:32,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-large.png,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/yqa0Gr/upload_pCaaW0-contentAwareLarge.png,,,,,,
m4RRhE,Watermelon Wheat,Watermelon Wheat,5.5,68,N,verified,Verified,2012-01-03 02:44:28,2015-04-17 19:14:03,68,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Fruit Lambic,Fruit Lambic,"These beers, also known by the names framboise, kriek, peche, cassis, etc., are characterized by fruit flavors and aromas. The color reflects the choice of fruit. Sourness is an important part of the flavor profile, though sweetness may compromise the intensity. These flavored lambic beers may be very dry or mildly sweet and range from a dry to a full-bodied mouthfeel. Characteristic horsey, goaty, leathery and phenolic character evolved from Brettanomyces yeast is often present at moderate levels. Vanillin and other woody flavors should not be evident. Versions of this beer made outside of the Brussels area of Belgium cannot be true lambics. These versions are said to be ""lambic-style"" and may be made to resemble many of the beers of true origin. Historically, traditional lambics are dry and completely attenuated, exhibiting no residual sweetness either from malt, sugar, fruit or artificial sweeteners. Some versions often have a degree of sweetness, contributed by fruit sugars, other sugars or artificial sweeteners. Competition organizers may choose to subcategorize this style into A) Traditional and B) Sweet.  Artificial sweeteners are sometimes used in some brands.",15,21,5.6,8.6,,,1.04,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:32:47,,,,,,,,,,,,
gn86nC,Zambo,Zambo,9.6,33,N,verified,Verified,2012-12-01 19:22:21,2017-08-03 20:22:57,33,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial Red Ale,Imperial Red,"Imperial Red Ales are deep amber to dark copper/reddish brown. A small amount of chill haze is allowable at cold temperatures. Fruity-ester aroma is medium. Hop aroma is intense, arising from any variety of hops. Medium to high caramel malt character is present. Hop flavor is intense, and balanced with other beer characters. They may use any variety of hops. Hop bitterness is intense. Alcohol content is very high and of notable character. Complex alcohol flavors may be evident. Fruity-ester flavors are medium. Diacetyl should not be perceived. Body is full.",55,85,7.9,10.5,10,15,1.08,1.02,1.028,2012-03-21 20:06:46,2015-04-07 17:05:43,,,,,,,,,,,,
