id,name,nameDisplay,abv,ibu,availableId,styleId,isRetired,status,statusDisplay,createDate,updateDate,labels.icon,labels.medium,labels.large,labels.contentAwareIcon,labels.contentAwareMedium,labels.contentAwareLarge,available.id,available.name,available.description,style.id,style.categoryId,style.category.id,style.category.name,style.category.createDate,style.name,style.shortName,style.description,style.ibuMin,style.ibuMax,style.abvMin,style.abvMax,style.srmMin,style.srmMax,style.ogMin,style.fgMin,style.fgMax,style.createDate,style.updateDate,style.ogMax
RwKtpW,Alkali Wit,Alkali Wit,5.25,27,4.0,65,N,verified,Verified,2012-02-09 12:36:12,2015-12-16 14:19:29,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-large.png,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/RwKtpW/upload_x8h86G-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",65,5,5,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style White (or Wit) / Belgian-Style Wheat,Witbier,Belgian white ales are very pale in color and are brewed using unmalted wheat and malted barley and are spiced with coriander and orange peel. Coriander and light orange peel aroma should be perceived as such or as an unidentified spiciness. Phenolic spiciness and yeast flavors may be evident at mild levels. These beers are traditionally bottle conditioned and served cloudy. An unfiltered starch and yeast haze should be part of the appearance. The low to medium body should have some degree of creaminess from wheat starch. The style is further characterized by the use of noble-type hops to achieve low hop bitterness and little to no apparent hop flavor. This beer has no diacetyl and a low to medium fruity-ester level. Mild acidity is appropriate.,10,17,4.8,5.2,2,4,1.044,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:32:30,
XhKfyn,All That I See,All That I See,12.1,,,16,N,verified,Verified,2019-09-25 13:48:20,2019-09-25 13:48:20,,,,,,,,,,16,1,1,British Origin Ales,2012-03-21 20:06:45,British-Style Imperial Stout,British Imperial Stout,"Dark copper to very dark brown, British-style imperial stouts typically have high alcohol content. The extremely rich malty flavor (often characterized as toffee-like or caramel-like) and aroma are balanced with medium hopping and high fruity-ester characteristics. Bitterness should be moderate and balanced with sweet malt character. The bitterness may be higher in the darker versions. Roasted malt astringency is very low or absent. Bitterness should not overwhelm the overall character. Hop aroma can be subtle to moderately hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",45,65,7,12,20,35,1.08,1.02,1.03,2012-03-21 20:06:45,2015-04-07 15:22:41,
ljK8Ec,Alpha Lords,Alpha Lords,8.5,,4.0,31,N,verified,Verified,2019-11-18 14:34:53,2019-11-18 14:35:33,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-large.png,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/ljK8Ec/upload_hoGm4i-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",31,3,3,North American Origin Ales,2012-03-21 20:06:45,Imperial or Double India Pale Ale,Imperial IPA,"Imperial or Double India Pale Ales have intense hop bitterness, flavor and aroma. Alcohol content is medium-high to high and notably evident. They range from deep golden to medium copper in color. The style may use any variety of hops. Though the hop character is intense it's balanced with complex alcohol flavors, moderate to high fruity esters and medium to high malt character. Hop character should be fresh and lively and should not be harsh in quality. The use of large amounts of hops may cause a degree of appropriate hop haze. Imperial or Double India Pale Ales have medium-high to full body. Diacetyl should not be perceived. The intention of this style of beer is to exhibit the fresh and bright character of hops. Oxidative character and aged character should not be present.",65,100,7.5,10.5,5,13,1.075,1.012,1.02,2012-03-21 20:06:45,2015-04-07 15:26:46,
QxC656,Bake Head Brown,Bake Head Brown,5.7,,,37,N,verified,Verified,2017-03-22 13:06:06,2017-03-22 13:06:06,,,,,,,,,,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,
NS8Q9Y,Bee Line Blonde,Bee Line Blonde,5.25,31,1.0,36,N,verified,Verified,2015-08-06 20:17:16,2015-12-18 04:11:25,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-large.png,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/NS8Q9Y/upload_GdP4JR-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,36,3,3,North American Origin Ales,2012-03-21 20:06:45,Golden or Blonde Ale,Blonde,"Golden or Blonde ales are straw to golden blonde in color. They have a crisp, dry palate, light to medium body, and light malt sweetness. Low to medium hop aroma may be present but does not dominate. Bitterness is low to medium. Fruity esters may be perceived but do not predominate. Diacetyl should not be perceived. Chill haze should be absent.",15,25,4,5,3,7,1.045,1.008,1.016,2012-03-21 20:06:46,2015-04-07 15:27:26,
4G3hyx,Big Four,Big Four,10,168,2.0,125,N,verified,Verified,2012-02-09 12:37:42,2015-12-16 14:23:14,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-large.png,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/4G3hyx/upload_rEfFvq-contentAwareLarge.png,2.0,Limited,Limited availability.,125,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Specialty Beer,Specialty,"These beers are brewed using unusual fermentable sugars, grains and starches that contribute to alcohol content other than, or in addition to, malted barley. Nuts generally have some degree of fermentables, thus beers brewed with nuts would appropriately be entered in this category. The distinctive characters of these special ingredients should be evident either in the aroma, flavor or overall balance of the beer, but not necessarily in overpowering quantities. For example, maple syrup or potatoes would be considered unusual. Rice, corn, or wheat are not considered unusual. Special ingredients must be listed when competing. A statement by the brewer explaining the special nature of the beer, ingredient(s) and achieved character is essential in order for fair assessment in competitions. If this beer is a classic style with some specialty ingredient(s), the brewer should also specify the classic style. Guidelines for competing: Spiced beers using unusual fermentables should be entered in the experimental category. Fruit beers using unusual fermentables should be entered in the fruit beer category.",,100,2.5,25,1,100,1.03,1.006,1.03,2012-03-21 20:06:46,2015-04-07 15:44:53,
jLhRxX,Blood Transfusion,Blood Transfusion,6.3,55,,30,N,verified,Verified,2017-06-15 13:16:29,2017-06-15 13:16:29,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
gM4xor,Bloomer's Cut,Bloomer's Cut,7.5,68,4.0,30,N,verified,Verified,2018-12-17 15:25:17,2018-12-17 15:25:42,,,,,,,4.0,Seasonal,"Available at the same time of year, every year.",30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
BKBkKw,Brewer's Brunch,Brewer's Brunch,9.6,,,43,N,verified,Verified,2018-01-22 17:07:49,2018-03-15 21:17:29,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-large.png,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/BKBkKw/upload_1f8iio-contentAwareLarge.png,,,,43,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Imperial Stout,American Imperial Stout,"Black in color, American-style imperial stouts typically have a high alcohol content. Generally characterized as very robust. The extremely rich malty flavor and aroma are balanced with assertive hopping and fruity-ester characteristics. Bitterness should be moderately high to very high and balanced with full sweet malt character. Roasted malt astringency and bitterness can be moderately perceived but should not overwhelm the overall character. Hop aroma is usually moderately-high to overwhelmingly hop-floral, -citrus or -herbal. Diacetyl (butterscotch) levels should be absent.",50,80,7,12,40,40,1.08,1.02,1.03,2012-03-21 20:06:46,2015-04-07 15:28:49,
wJdhWT,Burnt Fog,Burnt Fog,7.3,,4.0,38,N,verified,Verified,2015-08-06 20:21:16,2015-12-18 04:04:25,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-large.png,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/wJdhWT/upload_kKiVVY-contentAwareLarge.png,4.0,Seasonal,"Available at the same time of year, every year.",38,3,3,North American Origin Ales,2012-03-21 20:06:45,Smoke Porter,Smoke Porter,"Smoke porters are chestnut brown to black in color. They can exhibit a mild to assertive smoke character in balance with other beer characters. Black malt character can be perceived in some porters, while others may be absent of strong roast character. Roast barley character should be absent. Medium to full malt sweetness, caramel and chocolate are acceptable along with medium to medium-high hop bitterness. These beers are usually medium to full bodied. Fruity esters are acceptable. Hop flavor and aroma may vary from being negligible to medium in character.",20,40,5,8.7,20,20,1.04,1.006,1.014,2012-03-21 20:06:46,2015-04-07 15:27:41,
sezaDL,Cultural Appropriation,Cultural Appropriation,10.5,37,,37,N,verified,Verified,2017-06-01 03:53:10,2017-06-01 14:53:46,,,,,,,,,,37,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Brown Ale,American Brown,"American brown ales range from deep copper to brown in color. Roasted malt caramel-like and chocolate-like characters should be of medium intensity in both flavor and aroma. American brown ales have evident low to medium hop flavor and aroma, medium to high hop bitterness, and a medium body. Estery and fruity-ester characters should be subdued. Diacetyl should not be perceived. Chill haze is allowable at cold temperatures.",25,45,4,6.4,15,26,1.04,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:27:35,
gZmW8O,Daylight,Daylight,6.25,65,1.0,32,N,verified,Verified,2012-02-09 12:38:11,2015-12-16 15:21:49,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-icon.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-medium.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-large.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareIcon.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareMedium.png,https://brewerydb-images.s3.amazonaws.com/beer/gZmW8O/upload_bZISrL-contentAwareLarge.png,1.0,Year Round,Available year round as a staple beer.,32,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style Amber/Red Ale,Amber,"American amber/red ales range from light copper to light brown in color. They are characterized by American-variety hops used to produce the perception of medium hop bitterness, flavor, and medium aroma. Amber ales have medium-high to high maltiness with medium to low caramel character. They should have medium to medium-high body. The style may have low levels of fruityester flavor and aroma. Diacetyl can be either absent or barely perceived at very low levels. Chill haze is allowable at cold temperatures. Slight yeast haze is acceptable for bottle-conditioned products.",30,40,4.5,6,11,18,1.048,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:52,
7TCBFe,Discord,Discord,6.5,,2.0,136,N,verified,Verified,2015-08-24 19:37:25,2015-08-24 19:46:18,,,,,,,2.0,Limited,Limited availability.,136,11,11,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Sour Beer,BBL Aged Sour,"A wood- or barrel-aged sour beer is any lager, ale or hybrid beer, either a traditional style or a unique experimental beer that has been aged for a period of time in a wooden barrel or in contact with wood and has developed a bacterial induced natural acidity. This beer is aged in wood with the intention of introducing the micro flora present in the wood. Sometimes wood aging is intended to impart the particularly unique character of the wood, but wood-aged is not necessarily synonymous with imparting wood-flavors. Wood character can be characterized as a complex blend of vanillin and unique wood character. Wood-derived character can also be characterized by flavors of the product that was in the barrel during prior use. These wood-derived flavors, if present in this style, can be very low in character and barely perceived or evident or assertive as wood-derived flavors. Any degree of woodderived flavors should be in balance with other beer character. Fruit and herb/spiced versions may take on the hue, flavors and aromas of added ingredients.  Usually bacteria and ""wild"" yeasts fermentation contributes complex esters and results in a dry to very dry beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of acidity, complex esters, and new beer with wood and/or barrel flavors. Beers in this style may or may not have Brettanomyces character.  Brewers when entering this category should specify type of barrel used and any other special treatment or ingredients used. Competition managers may create style subcategories to differentiate between high alcohol and low alcohol beers and very dark and lighter colored beer as well as for fruit beers and non-fruit beers. Competitions may develop guidelines requesting brewers to specify what kind of wood (new or used oak, other wood varieties). The brewer may be asked to explain the special nature (wood used, base beer style(s) and achieved character) of the beer.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:56,
GLGm3u,Everything Wrong (and Right),Everything Wrong (and Right),7,30,,30,N,verified,Verified,2017-06-01 03:51:45,2017-06-01 14:54:42,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
GW1knL,Extra Special Martin,Extra Special Martin,6,,2.0,5,N,verified,Verified,2015-08-24 19:27:15,2015-08-24 19:46:31,,,,,,,2.0,Limited,Limited availability.,5,1,1,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,
hEkIF0,Golden Guava IPA,Golden Guava IPA,6.5,,,30,N,verified,Verified,2016-09-07 20:39:59,2016-09-16 14:25:54,,,,,,,,,,30,3,3,North American Origin Ales,2012-03-21 20:06:45,American-Style India Pale Ale,American IPA,"American-style India pale ales are perceived to have medium-high to intense hop bitterness, flavor and aroma with medium-high alcohol content. The style is further characterized by floral, fruity, citrus-like, piney, resinous, or sulfur-like American-variety hop character. Note that one or more of these American-variety hop characters is the perceived end, but the hop characters may be a result of the skillful use of hops of other national origins. The use of water with high mineral content results in a crisp, dry beer. This pale gold to deep copper-colored ale has a full, flowery hop aroma and may have a strong hop flavor (in addition to the perception of hop bitterness). India pale ales possess medium maltiness which contributes to a medium body. Fruity-ester flavors and aromas are moderate to very strong. Diacetyl can be absent or may be perceived at very low levels. Chill and/or hop haze is allowable at cold temperatures. (English and citrus-like American hops are considered enough of a distinction justifying separate American-style IPA and English-style IPA categories or subcategories. Hops of other origins may be used for bitterness or approximating traditional American or English character. See English-style India Pale Ale",50,70,6.3,7.5,6,14,1.06,1.012,1.018,2012-03-21 20:06:45,2015-04-07 15:26:37,
8YAO4j,Hazy Panic,Hazy Panic,7,,,172,N,verified,Verified,2019-11-04 14:42:43,2019-11-04 14:42:43,,,,,,,,,,172,3,3,North American Origin Ales,2012-03-21 20:06:45,Juicy or Hazy India Pale Ale,Juicy or Hazy IPA,"Color: Straw to deep gold

Clarity: Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.

Perceived Malt Aroma & Flavor: Low to low-medium malt aroma and flavor may be present

Perceived Hop Aroma & Flavor: Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin

Perceived Bitterness: Medium-low to medium

Fermentation Characteristics: Low to medium fruity-estery aroma and ﬂavor may be present, but are usually overwhelmed by hop fruitiness. Diacetyl should not be perceived.

Body: Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.

Additional notes: Grist may include a small amount of oat, wheat or other adjuncts to promote haziness. Descriptors such as “juicy” are often used to describe the taste and aroma hop-derived attributes present in these beers.",50,70,6.3,7.5,4,7,1.06,1.008,1.016,2018-08-16 14:03:57,,1.07
